jdir,cid,path,cap,binding,needs_pre,pre_existed,pre_captured,prev_digest,created,has_basis,LATE_CRITICAL_steel
r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,c1,notes.txt,fs.move,STATIC,True,True,True,False,,True,False
r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,c1,archive.txt,fs.move,STATIC,True,False,False,False,,True,False
r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,c1,notes.txt,fs.move,STATIC,True,True,True,False,,True,False
r1/f9b27dd/P3-control-b/T4-rename/rep-1/events.json,c1,archive.txt,fs.move,STATIC,True,True,True,False,,True,False
r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,c1,notes.txt,fs.move,STATIC,True,True,True,False,,True,False
r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,c1,archive.txt,fs.move,STATIC,True,False,False,False,,True,False
r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,c1,notes.txt,fs.move,STATIC,True,True,True,False,,True,False
r1/f9b27dd/P3-control-b/T4-rename/rep-2/events.json,c1,archive.txt,fs.move,STATIC,True,True,True,False,,True,False
r1/f9b27dd/P3-control-b/T4-rename/rep-3/events.json,c1,notes.txt,fs.move,STATIC,True,True,True,False,,True,False
r1/f9b27dd/P3-control-b/T4-rename/rep-3/events.json,c1,archive.txt,fs.move,STATIC,True,False,False,False,,True,False
r1/f9b27dd/P3-control-b/T6-world-moves/rep-1/events.json,c1,config.json,fs.patch,STATIC,False,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T6-world-moves/rep-1/events.json,c2,config.json,fs.patch,STATIC,True,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T6-world-moves/rep-2/events.json,c1,config.json,fs.patch,STATIC,False,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T6-world-moves/rep-2/events.json,c2,config.json,fs.patch,STATIC,True,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T6-world-moves/rep-3/events.json,c1,config.json,fs.patch,STATIC,False,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T6-world-moves/rep-3/events.json,c2,config.json,fs.patch,STATIC,True,True,True,True,False,True,False
r1/f9b27dd/P3-control-b/T7-two-files/rep-1/events.json,c1,src/greet.ts,fs.write,STATIC,False,False,False,False,True,False,False
r1/f9b27dd/P3-control-b/T7-two-files/rep-1/events.json,c2,src/greet.ts,fs.write,LATE,False,False,False,False,True,False,False
r1/f9b27dd/P3-control-b/T7-two-files/rep-1/events.json,c1,src/index.ts,fs.write,LATE,False,False,False,False,True,True,False
r1/f9b27dd/P3-control-b/T7-two-files/rep-1/events.json,c2,src/index.ts,fs.write,STATIC,False,False,False,False,True,True,False
r1/f9b27dd/P3-control-b/T7-two-files/rep-2/events.json,c1,src/greet.ts,fs.write,STATIC,False,False,False,False,True,False,False
r1/f9b27dd/P3-control-b/T7-two-files/rep-2/events.json,c2,src/greet.ts,fs.write,LATE,False,False,False,False,True,False,False
r1/f9b27dd/P3-control-b/T7-two-files/rep-2/events.json,c1,src/index.ts,fs.write,LATE,False,False,False,False,True,True,False
r1/f9b27dd/P3-control-b/T7-two-files/rep-2/events.json,c2,src/index.ts,fs.write,STATIC,False,False,False,False,True,True,False
r1/f9b27dd/P3-control-b/T7-two-files/rep-3/events.json,c1,src/greet.ts,fs.write,STATIC,False,False,False,False,True,False,False
r1/f9b27dd/P3-control-b/T7-two-files/rep-3/events.json,c2,src/greet.ts,fs.write,LATE,False,False,False,False,True,False,False
r1/f9b27dd/P3-control-b/T7-two-files/rep-3/events.json,c1,src/index.ts,fs.write,LATE,False,False,False,False,True,True,False
r1/f9b27dd/P3-control-b/T7-two-files/rep-3/events.json,c2,src/index.ts,fs.write,STATIC,False,False,False,False,True,True,False
r2/33e599e/M9-judge-b/R2-6-split/events.json,c1,notes/onboarding.md,fs.write,LATE,True,False,False,False,True,True,False
r2/33e599e/M9-judge-b/R2-6-split/events.json,c1,notes/releases.md,fs.write,LATE,True,False,False,False,True,True,False
r2/33e599e/M9-judge-b/R2-6-split/events.json,c1,notes/on-call.md,fs.write,LATE,True,False,False,False,True,True,False
r2/33e599e/M9-judge-b/R2-6-split/events.json,c1,notes.md,fs.write,STATIC,True,True,True,False,False,True,False
r2/33e599e/M9-judge-b/R2-6-split/events.json,c2,notes.md,fs.write,STATIC,False,True,True,False,False,True,False
r2/33e599e/M9-judge/R2-1-rename/events.json,c2,src/users.js,fs.patch,STATIC,False,True,True,True,False,True,False
r2/33e599e/M9-judge/R2-1-rename/events.json,c2,src/api.js,fs.patch,LATE-SAFE,False,True,True,True,False,True,False
r2/33e599e/M9-judge/R2-1-rename/events.json,c2,src/cli.js,fs.patch,LATE-SAFE,False,True,True,True,False,True,False
r2/de5b79b/C-pilot/R2-1-rename/events.json,c2,src/users.js,fs.patch,STATIC,False,True,True,True,False,True,False
r2/de5b79b/C-pilot/R2-2-module/events.json,c1,src/slugify.js,fs.write,STATIC,False,False,False,False,True,True,False
r2/de5b79b/C-pilot/R2-2-module/events.json,c2,src/slugify.js,fs.write,LATE,False,False,False,False,True,True,False
r2/de5b79b/C-pilot/R2-4-independent/events.json,c1,docs/guide.md,fs.patch,STATIC,True,True,True,True,False,True,False
r2/f9b27dd/P3-judge-run-b/R2-1-rename/rep-1/events.json,c2,src/users.js,fs.patch,STATIC,False,True,True,True,False,True,False
r2/f9b27dd/P3-judge-run-b/R2-1-rename/rep-1/events.json,c2,src/api.js,fs.patch,LATE-SAFE,False,True,True,True,False,True,False
r2/f9b27dd/P3-judge-run-b/R2-1-rename/rep-1/events.json,c2,src/cli.js,fs.patch,LATE-SAFE,False,True,True,True,False,True,False
r2/f9b27dd/P3-judge-run-b/R2-1-rename/rep-2/events.json,c2,src/users.js,fs.patch,STATIC,False,True,True,True,False,True,False
r2/f9b27dd/P3-judge-run-b/R2-1-rename/rep-2/events.json,c2,src/api.js,fs.patch,LATE-SAFE,False,True,True,True,False,True,False
r2/f9b27dd/P3-judge-run-b/R2-1-rename/rep-2/events.json,c2,src/cli.js,fs.patch,LATE-SAFE,False,True,True,True,False,True,False
r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-1/events.json,c1,src/slugify.js,fs.write,STATIC,False,False,False,False,True,True,False
r2/f9b27dd/P3-judge-run-b/R2-2-module/rep-1/events.json,c2,src/slugify.js,fs.write,LATE,False,False,False,False,True,True,False
